原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
,开展,2,创新,创新,国际
,广大,2,科学普及,科学普及,自主
,工作者,2,各级党委,各级党委,重要
,发展,2,良好条件,良好条件,实现
,创新,2,新格局,新格局,突破
,全国,2,我国,我国,作用
,高度重视,1,腾飞,腾飞,工作者
,金融危机,1,,,
,重要,1,,,
,进一步,1,,,
,载体,1,,,
,良好条件,1,,,
,自主,1,,,
,腾飞,1,,,
,继续,1,,,
,经济社会,1,,,
,经济,1,,,
,组织,1,,,
,素质,1,,,
,突破,1,,,
,科学普及,1,,,
,科学,1,,,
,社会化,1,,,
,焕发,1,,,
,活力,1,,,
,有力,1,,,
,新格局,1,,,
,效应,1,,,
,政府,1,,,
,支撑,1,,,
,支持,1,,,
,形成,1,,,
,建设,1,,,
,平稳,1,,,
,实现,1,,,
,大幅度提高,1,,,
,增强,1,,,
,国际,1,,,
,国家,1,,,
,围绕,1,,,
,品牌,1,,,
,各级党委,1,,,
,各级,1,,,
,发挥作用,1,,,
,勇于,1,,,
,办好,1,,,
,力度,1,,,
,制约,1,,,
,创新能力,1,,,
,创新型,1,,,
,切实,1,,,
,冲击,1,,,
,关键技术,1,,,
,全民,1,,,
,充分发挥,1,,,
,保障,1,,,
,保持,1,,,
,作用,1,,,
,主力军,1,,,
,两翼,1,,,
,不断,1,,,
,一如既往,1,,,
,一大,1,,,
,,,,,
大庆油田的开发建设，印证了我国科学家自己提出的陆相生油理论，创新发展了一套自主研发、系统配套、世界领先的勘探开发技术，使主力油层采收率高于国外同类型油田。大庆油田的科技进步，对中国石油工业乃至世界石油工业的发展发挥了积极作用。,石油工业,2,大庆油田,大庆油田,创新
,大庆油田,2,石油工业,石油工业,发展
,发展,2,开发技术,开发技术,建设
,高于,1,采收率,采收率,我国
,陆相,1,国外同类,国外同类,中国
,采收率,1,生油,生油,世界
,配套,1,世界领先,世界领先,自主
,自己,1,油层,油层,发挥
,自主,1,科技进步,科技进步,作用
,系统,1,陆相,陆相,积极
,积极,1,勘探,勘探,科学家
,科技进步,1,印证,印证,研发
,科学家,1,油田,油田,自己
,研发,1,配套,配套,科技进步
,生油,1,发展,发展,提出
,理论,1,,,
,油田,1,,,
,油层,1,,,
,提出,1,,,
,我国,1,,,
,开发技术,1,,,
,开发,1,,,
,建设,1,,,
,国外同类,1,,,
,发挥,1,,,
,印证,1,,,
,勘探,1,,,
,创新,1,,,
,作用,1,,,
,乃至,1,,,
,主力,1,,,
,中国,1,,,
,世界领先,1,,,
,世界,1,,,
,一套,1,,,
,,,,,
当年的大庆会战，正是抽调国家各部门、全国各省区市和人民解放军的大批力量，集合全国200多个工矿企业、科研设计单位和高等院校的技术骨干，在输电线网、设备供应、技术研发、后勤保障等各个方面实行全国“一盘棋”、行业大协作，才从根本上奠定了大庆发展的坚实基础。,全国,3,大庆,大庆,发展
,大庆,2,全国,全国,技术
,高等院校,1,大协作,大协作,国家
,集合,1,200,200,研发
,部门,1,技术骨干,技术骨干,科研
,输电线,1,输电线,输电线,力量
,设计,1,一盘棋,一盘棋,全国
,设备,1,省区市,省区市,设备
,行业,1,坚实基础,坚实基础,设计
,科研,1,工矿企业,工矿企业,实行
,研发,1,后勤保障,后勤保障,高等院校
,省区市,1,人民解放军,人民解放军,部门
,正是,1,抽调,抽调,行业
,抽调,1,高等院校,高等院校,奠定
,技术骨干,1,各个方面,各个方面,多个
,技术,1,,,
,当年,1,,,
,工矿企业,1,,,
,实行,1,,,
,奠定,1,,,
,大批,1,,,
,大协作,1,,,
,多个,1,,,
,坚实基础,1,,,
,国家,1,,,
,后勤保障,1,,,
,各个方面,1,,,
,发展,1,,,
,单位,1,,,
,力量,1,,,
,供应,1,,,
,会战,1,,,
,从根本上,1,,,
,人民解放军,1,,,
,一盘棋,1,,,
,200,1,,,
,,,,,
大庆的实践启示我们，国有企业的发展和进步，必须突出科技创新这个主题。大庆油田从一开始投入开发，就把开拓进取的满腔热情同严格的科学态度结合起来，始终注重发挥科技的主导作用，突破油田开发的瓶颈制约，把握规律、运用规律，做到科技超前15年储备、超前10年攻关、超前5年配套，从而实现了科技的有序接替和油田的良性开发。大庆油田在开发建设中，坚持解放思想、开拓创新，坚持调整结构、转变机制、完善制度，促进了企业的良性发展。实践充分说明，国有企业只有牢牢抓住科技创新这个主导因素，才能极大地解放和发展生产力；只有牢牢抓住深化改革这个关键环节，才能走上新型工业化的发展道路。,科技,5,科技,科技,创新
,开发,4,超前,超前,科技
,发展,4,开发,开发,发展
,这个,3,大庆油田,大庆油田,建设
,超前,3,良性,良性,我们
,规律,2,牢牢,牢牢,企业
,良性,2,油田,油田,实现
,牢牢,2,国有企业,国有企业,坚持
,油田,2,发展,发展,发挥
,抓住,2,实践,实践,突破
,才能,2,抓住,抓住,促进
,实践,2,规律,规律,必须
,大庆油田,2,15,15,机制
,坚持,2,10,10,完善
,国有企业,2,坚持,坚持,制度
,只有,2,,,
,创新,2,,,
,配套,1,,,
,道路,1,,,
,进步,1,,,
,运用,1,,,
,转变,1,,,
,起来,1,,,
,走上,1,,,
,调整结构,1,,,
,解放思想,1,,,
,解放,1,,,
,结合,1,,,
,突破,1,,,
,突出,1,,,
,科学态度,1,,,
,生产力,1,,,
,瓶颈,1,,,
,满腔热情,1,,,
,深化改革,1,,,
,注重,1,,,
,极大,1,,,
,机制,1,,,
,有序,1,,,
,新型,1,,,
,攻关,1,,,
,接替,1,,,
,投入,1,,,
,把握,1,,,
,我们,1,,,
,必须,1,,,
,开拓进取,1,,,
,开拓创新,1,,,
,开始,1,,,
,建设,1,,,
,工业化,1,,,
,实现,1,,,
,完善,1,,,
,始终,1,,,
,大庆,1,,,
,因素,1,,,
,启示,1,,,
,发挥,1,,,
,制约,1,,,
,制度,1,,,
,关键环节,1,,,
,充分说明,1,,,
,储备,1,,,
,做到,1,,,
,促进,1,,,
,企业,1,,,
,从而,1,,,
,主题,1,,,
,主导作用,1,,,
,主导,1,,,
,严格,1,,,
,15,1,,,
,10,1,,,
,,,,,
要进一步培养干事创业激情，保持锐气、焕发朝气、增添勇气，奋力开拓大庆油田更为广阔的发展前景。要深化企业内部改革，切实解决发展中遇到的深层次问题。要大力推进自主创新，充分发挥科技第一生产力的作用，促进企业发展方式的转变，走出一条持续健康的创新发展之路。,发展,3,创新,创新,创新
,创新,2,发展,发展,科技
,企业,2,朝气,朝气,发展
,问题,1,大庆油田,大庆油田,企业
,锐气,1,焕发,焕发,自主
,遇到,1,锐气,锐气,推进
,进一步,1,深层次,深层次,促进
,转变,1,奋力,奋力,问题
,走出,1,企业,企业,作用
,解决,1,发展前景,发展前景,改革
,自主,1,干事,干事,深化
,第一,1,增添,增添,持续
,科技,1,勇气,勇气,培养
,生产力,1,激情,激情,第一
,焕发,1,开拓,开拓,健康
,激情,1,,,
,深层次,1,,,
,深化,1,,,
,朝气,1,,,
,更为,1,,,
,方式,1,,,
,改革,1,,,
,推进,1,,,
,持续,1,,,
,开拓,1,,,
,广阔,1,,,
,干事,1,,,
,奋力,1,,,
,大庆油田,1,,,
,大力,1,,,
,增添,1,,,
,培养,1,,,
,发展前景,1,,,
,勇气,1,,,
,创业,1,,,
,切实,1,,,
,内部,1,,,
,充分发挥,1,,,
,健康,1,,,
,保持,1,,,
,促进,1,,,
,作用,1,,,
,一条,1,,,
,,,,,
当今世界正处在大发展大变革大调整时期。世界多极化、经济全球化深入发展，科技进步日新月异，世界经济格局发生新变化，国际力量对比出现新态势，全球思想文化交流交融交锋呈现新特点，发达国家在经济、科技等方面仍占优势，综合国力竞争和各种力量较量更趋激烈，不稳定不确定因素有所增多，给我国发展带来新的机遇和挑战。,经济,3,多极化,多极化,科技
,发展,3,发展,发展,发展
,世界,2,经济,经济,经济
,较量,1,综合国力,综合国力,我国
,调整,1,日新月异,日新月异,世界
,综合国力,1,科技进步,科技进步,国际
,竞争,1,交融,交融,全球
,稳定,1,力量对比,力量对比,变革
,科技进步,1,更趋,更趋,方面
,科技,1,当今世界,当今世界,力量
,确定,1,世界,世界,机遇
,特点,1,交锋,交锋,科技进步
,激烈,1,全球化,全球化,挑战
,深入,1,文化交流,文化交流,竞争
,格局,1,较量,较量,格局
,机遇,1,,,
,有所,1,,,
,更趋,1,,,
,时期,1,,,
,日新月异,1,,,
,方面,1,,,
,文化交流,1,,,
,挑战,1,,,
,我国,1,,,
,思想,1,,,
,态势,1,,,
,当今世界,1,,,
,带来,1,,,
,多极化,1,,,
,处在,1,,,
,增多,1,,,
,国际,1,,,
,因素,1,,,
,呈现,1,,,
,各种,1,,,
,变革,1,,,
,变化,1,,,
,发达国家,1,,,
,发生,1,,,
,占优势,1,,,
,力量对比,1,,,
,力量,1,,,
,出现,1,,,
,全球化,1,,,
,全球,1,,,
,交锋,1,,,
,交融,1,,,
,,,,,
以科学方法推进党的建设，最根本的是既要继承和发展党在长期实践中积累的党的建设成功方法，又要积极探索运用现代科学方法，包括探索运用信息网络技术，探索运用现代管理学、组织学、心理学等现代科学方法，借鉴外国执政党建设的有益做法，不断提高党建工作水平。,方法,4,方法,方法,发展
,运用,3,现代科学,现代科学,技术
,现代科学,2,党的建设,党的建设,建设
,探索,2,运用,运用,科学
,党的建设,2,探索,探索,推进
,长期实践,1,长期实践,长期实践,提高
,继承,1,组织学,组织学,工作
,组织学,1,管理学,管理学,不断
,管理学,1,党建,党建,水平
,积累,1,信息网络,信息网络,现代
,积极探索,1,积极探索,积极探索,探索
,科学,1,执政党,执政党,运用
,现代,1,有益,有益,方法
,水平,1,心理学,心理学,成功
,根本,1,借鉴,借鉴,根本
,有益,1,,,
,提高,1,,,
,推进,1,,,
,技术,1,,,
,执政党,1,,,
,成功,1,,,
,心理学,1,,,
,建设,1,,,
,工作,1,,,
,外国,1,,,
,发展,1,,,
,包括,1,,,
,党建,1,,,
,做法,1,,,
,借鉴,1,,,
,信息网络,1,,,
,不断,1,,,
,,,,,
以人民群众为主体的社会实践具有一往无前的革命性品格，探求未知的道路上会不断遇到各种新情况新问题，需要有远大的目光和开拓奋进的勇气，需要掌握和运用人类创造的最新理论成果、最新科学知识及时总结经验、深刻揭示规律、科学预见未来。,需要,2,最新,最新,科学
,最新,2,奋进,奋进,社会
,预见,1,一往无前,一往无前,人类
,革命性,1,总结经验,总结经验,问题
,问题,1,远大,远大,人民
,道路,1,科学知识,科学知识,不断
,遇到,1,探求,探求,成果
,远大,1,革命性,革命性,具有
,运用,1,品格,品格,需要
,规律,1,需要,需要,创造
,群众,1,预见,预见,未来
,科学知识,1,未知,未知,掌握
,科学,1,勇气,勇气,主体
,社会,1,开拓,开拓,规律
,目光,1,揭示,揭示,运用
,理论,1,,,
,深刻,1,,,
,未知,1,,,
,未来,1,,,
,揭示,1,,,
,探求,1,,,
,掌握,1,,,
,成果,1,,,
,情况,1,,,
,总结经验,1,,,
,开拓,1,,,
,实践,1,,,
,奋进,1,,,
,品格,1,,,
,各种,1,,,
,及时,1,,,
,勇气,1,,,
,创造,1,,,
,具有,1,,,
,人类,1,,,
,人民,1,,,
,主体,1,,,
,不断,1,,,
,一往无前,1,,,
,,,,,
当今世界在深刻变化，国际形势在不断发展，社会实践在不断深入。最近一百多年来，人类社会发展变化的剧烈和深刻程度远远超出了人们的预料。从两次世界大战到美苏争霸、到两极格局终结、再到多极化加速发展，世界格局在深刻变动；从经典力学到相对论、到新技术革命迅猛发展、再到互联网的普及，科技进步日新月异；从农业社会到工业社会、再到信息社会，人类的生产生活方式今非昔比。,社会,5,社会,社会,发展
,深刻,3,深刻,深刻,技术
,发展,3,格局,格局,世界
,格局,2,人类,人类,社会
,变化,2,多极化,多极化,农业
,人类,2,发展,发展,人类
,预料,1,今非昔比,今非昔比,不断
,革命,1,经典力学,经典力学,革命
,远远,1,不断深入,不断深入,生产
,迅猛发展,1,美苏,美苏,生活
,超出,1,日新月异,日新月异,方式
,美苏,1,科技进步,科技进步,互联网
,经典力学,1,一百多年,一百多年,科技进步
,终结,1,变化,变化,加速
,程度,1,国际形势,国际形势,格局
,科技进步,1,,,
,相对论,1,,,
,生活,1,,,
,生产,1,,,
,最近,1,,,
,普及,1,,,
,日新月异,1,,,
,方式,1,,,
,技术,1,,,
,当今世界,1,,,
,工业,1,,,
,实践,1,,,
,多极化,1,,,
,国际形势,1,,,
,变动,1,,,
,加速,1,,,
,剧烈,1,,,
,农业,1,,,
,信息,1,,,
,今非昔比,1,,,
,人们,1,,,
,互联网,1,,,
,争霸,1,,,
,两次,1,,,
,两极,1,,,
,世界大战,1,,,
,世界,1,,,
,不断深入,1,,,
,不断,1,,,
,一百多年,1,,,
,,,,,
要清醒地看到，我国面临着发达国家在经济科技方面长期占优势的压力，国际上综合国力竞争更趋激烈。要使中国特色社会主义赢得与资本主义相比较的优势，要牢牢掌握加快我国发展的主动权，就必须大胆吸收和借鉴人类社会创造的一切文明成果，吸收和借鉴当今世界各国包括资本主义发达国家一切反映现代社会化生产规律的先进经营方式和管理方法。,资本主义,2,借鉴,借鉴,科技
,我国,2,发达国家,发达国家,发展
,吸收,2,吸收,吸收,经济
,发达国家,2,资本主义,资本主义,加快
,借鉴,2,综合国力,综合国力,我国
,一切,2,一切,一切,中国
,面临,1,经营方式,经营方式,国际
,长期,1,我国,我国,社会
,赢得,1,更趋,更趋,人类
,规律,1,当今世界,当今世界,优势
,综合国力,1,主动权,主动权,成果
,经营方式,1,社会化,社会化,必须
,经济,1,牢牢,牢牢,方面
,管理,1,占优势,占优势,创造
,竞争,1,清醒,清醒,各国
,科技,1,,,
,社会化,1,,,
,社会主义,1,,,
,社会,1,,,
,看到,1,,,
,生产,1,,,
,现代,1,,,
,特色,1,,,
,牢牢,1,,,
,激烈,1,,,
,清醒,1,,,
,比较,1,,,
,更趋,1,,,
,方面,1,,,
,方法,1,,,
,文明,1,,,
,掌握,1,,,
,成果,1,,,
,必须,1,,,
,当今世界,1,,,
,大胆,1,,,
,国际,1,,,
,各国,1,,,
,发展,1,,,
,反映,1,,,
,压力,1,,,
,占优势,1,,,
,包括,1,,,
,加快,1,,,
,创造,1,,,
,先进,1,,,
,优势,1,,,
,人类,1,,,
,主动权,1,,,
,中国,1,,,
,,,,,
建设马克思主义学习型政党，就是要把学习科学理论和先进知识在全党形成制度、形成风气，就是要以有效的学习提升党的创新能力，增强党的生机活力。,形成,2,学习,学习,建设
,就是,2,学习型,学习型,科学
,学习,2,全党,全党,提升
,马克思主义,1,生机,生机,形成
,风气,1,创新能力,创新能力,创新能力
,科学,1,形成,形成,增强
,知识,1,风气,风气,先进
,生机,1,活力,活力,制度
,理论,1,马克思主义,马克思主义,活力
,活力,1,政党,政党,知识
,有效,1,就是,就是,就是
,政党,1,知识,知识,学习
,提升,1,先进,先进,有效
,建设,1,增强,增强,理论
,学习型,1,科学,科学,风气
,增强,1,,,
,制度,1,,,
,创新能力,1,,,
,全党,1,,,
,先进,1,,,
,,,,,
要清醒地看到，我国面临着发达国家在经济科技方面长期占优势的压力，国际上综合国力竞争更趋激烈。,面临,1,综合国力,综合国力,科技
,长期,1,更趋,更趋,经济
,综合国力,1,占优势,占优势,我国
,经济,1,清醒,清醒,国际
,竞争,1,发达国家,发达国家,方面
,科技,1,激烈,激烈,竞争
,看到,1,竞争,竞争,面临
,激烈,1,科技,科技,长期
,清醒,1,面临,面临,看到
,更趋,1,长期,长期,激烈
,方面,1,压力,压力,综合国力
,我国,1,我国,我国,发达国家
,国际,1,看到,看到,更趋
,发达国家,1,国际,国际,压力
,压力,1,方面,方面,占优势
,占优势,1,,,
,,,,,
我们提出尊重和保护一切有益于人民和社会的劳动；提出让一切劳动、知识、技术、管理和资本的活力竞相迸发，让一切创造社会财富的源泉充分涌流；提出要在积极发展资本和技术密集型企业的同时，大力发展劳动密集型企业。,提出,3,一切,一切,发展
,一切,3,提出,提出,技术
,资本,2,劳动,劳动,我们
,社会,2,涌流,涌流,企业
,技术,2,迸发,迸发,社会
,劳动,2,资本,资本,人民
,企业,2,密集型,密集型,积极
,迸发,1,技术,技术,创造
,财富,1,有益于,有益于,管理
,管理,1,劳动密集型,劳动密集型,活力
,竞相,1,社会,社会,提出
,积极,1,竞相,竞相,知识
,知识,1,企业,企业,保护
,源泉,1,源泉,源泉,同时
,涌流,1,大力发展,大力发展,充分
,活力,1,,,
,有益于,1,,,
,我们,1,,,
,尊重,1,,,
,密集型,1,,,
,大力发展,1,,,
,同时,1,,,
,发展,1,,,
,劳动密集型,1,,,
,创造,1,,,
,充分,1,,,
,保护,1,,,
,人民,1,,,
,,,,,
中共中央决定以扩大内需为基本立足点，大规模增加政府支出、扩大消费需求；以结构调整为主攻方向，大范围实施产业调整振兴规划；以科技创新为重要支撑，大力度推进科技进步和创新；以改善民生为根本目的，大幅度提高社会保障水平；以深化改革为强大动力，大强度推进重点领域和关键环节的改革。,推进,2,创新,创新,创新
,创新,2,推进,推进,科技
,领域,1,立足点,立足点,产业
,需求,1,科技进步,科技进步,领域
,重要,1,关键环节,关键环节,重要
,重点,1,大幅度提高,大幅度提高,推进
,调整,1,深化改革,深化改革,支撑
,规划,1,社会保障,社会保障,水平
,范围,1,扩大内需,扩大内需,改革
,结构调整,1,中共中央,中共中央,重点
,立足点,1,振兴,振兴,实施
,科技进步,1,民生,民生,需求
,科技,1,强度,强度,力度
,社会保障,1,支出,支出,动力
,目的,1,结构调整,结构调整,政府
,深化改革,1,,,
,消费,1,,,
,水平,1,,,
,民生,1,,,
,根本,1,,,
,方向,1,,,
,政府,1,,,
,改革,1,,,
,改善,1,,,
,支撑,1,,,
,支出,1,,,
,振兴,1,,,
,扩大内需,1,,,
,扩大,1,,,
,强度,1,,,
,强大,1,,,
,实施,1,,,
,大规模,1,,,
,大幅度提高,1,,,
,增加,1,,,
,基本,1,,,
,动力,1,,,
,力度,1,,,
,决定,1,,,
,关键环节,1,,,
,产业,1,,,
,为主,1,,,
,中共中央,1,,,
,,,,,
促进经济增长由主要依靠投资、出口拉动向依靠消费、投资、出口协调拉动转变，由主要依靠第二产业带动向依靠第一、第二、第三产业协同带动转变，由主要依靠增加物质资源消耗向主要依靠科技进步、劳动者素质提高、管理创新转变，使经济社会全面协调可持续发展。,依靠,6,依靠,依靠,创新
,主要,4,转变,转变,发展
,转变,3,主要,主要,经济
,拉动,2,拉动,拉动,提高
,投资,2,协调,协调,资源
,带动,2,带动,带动,促进
,协调,2,出口,出口,全面
,出口,2,第二产业,第二产业,经济社会
,资源,1,科技进步,科技进步,持续
,经济社会,1,第三产业,第三产业,第一
,经济,1,协同,协同,管理
,素质,1,素质,素质,转变
,管理,1,投资,投资,依靠
,第二产业,1,经济社会,经济社会,增长
,第二,1,劳动者,劳动者,协同
,第三产业,1,,,
,第一,1,,,
,科技进步,1,,,
,物质,1,,,
,消费,1,,,
,消耗,1,,,
,提高,1,,,
,持续,1,,,
,增长,1,,,
,增加,1,,,
,发展,1,,,
,协同,1,,,
,劳动者,1,,,
,创新,1,,,
,全面,1,,,
,促进,1,,,
,,,,,
既要坚持和发展马克思主义史学研究的优良传统，坚持和发展党史工作积累的成功经验和方法，也要吸收借鉴古今中外史学研究的有益经验和方法，还要积极运用现代科学技术，创新党史研究的手段、方法、载体。要注重发挥互联网等现代传媒在人们工作和生活中的独特作用，加大党史宣传教育和党史知识普及力度。,党史,4,党史,党史,创新
,研究,3,史学,史学,发展
,方法,3,方法,方法,研究
,现代,2,研究,研究,坚持
,工作,2,坚持,坚持,发挥
,坚持,2,现代,现代,作用
,史学,2,宣传教育,宣传教育,工作
,发展,2,古今中外,古今中外,科学技术
,马克思主义,1,成功经验,成功经验,积极
,还要,1,优良传统,优良传统,加大
,运用,1,工作,工作,现代
,载体,1,载体,载体,力度
,经验,1,有益,有益,生活
,积累,1,传媒,传媒,互联网
,积极,1,普及,普及,知识
,科学技术,1,,,
,知识,1,,,
,生活,1,,,
,独特,1,,,
,注重,1,,,
,有益,1,,,
,普及,1,,,
,手段,1,,,
,成功经验,1,,,
,宣传教育,1,,,
,吸收,1,,,
,古今中外,1,,,
,发挥,1,,,
,加大,1,,,
,力度,1,,,
,创新,1,,,
,借鉴,1,,,
,作用,1,,,
,传媒,1,,,
,优良传统,1,,,
,人们,1,,,
,互联网,1,,,
,,,,,
要以高度负责态度应对气候变化，加快经济发展方式转变和经济结构调整，抓紧研发和推广低碳技术，深入开展节能减排全民行动，努力实现“十一五”节能减排目标，践行相关国家承诺。,节能,2,节能,节能,发展
,经济,2,减排,减排,技术
,减排,2,低碳,低碳,经济
,高度负责,1,高度负责,高度负责,国家
,转变,1,践行,践行,加快
,践行,1,深入开展,深入开展,研发
,行动,1,努力实现,努力实现,转变
,结构调整,1,十一五,十一五,方式
,研发,1,全民,全民,目标
,相关,1,抓紧,抓紧,低碳
,目标,1,经济,经济,全民
,深入开展,1,气候变化,气候变化,应对
,气候变化,1,推广,推广,推广
,方式,1,研发,研发,气候变化
,推广,1,结构调整,结构调整,努力实现
,抓紧,1,,,
,技术,1,,,
,承诺,1,,,
,态度,1,,,
,应对,1,,,
,国家,1,,,
,发展,1,,,
,十一五,1,,,
,努力实现,1,,,
,加快,1,,,
,全民,1,,,
,低碳,1,,,
,,,,,
全球气候变化正深刻影响着人类生存和发展。我国处在工业化、城镇化快速发展阶段，面临的环境压力尤为突出。今年全国科普日活动主题瞄准国际经济科技竞争制高点，紧扣党和国家工作着力点，是科技工作围绕中心、服务大局的生动体现。全社会要继续深入开展节能减排全民行动，坚决落实应对气候变化国家方案。,科技,2,气候变化,气候变化,科技
,气候变化,2,服务大局,服务大局,发展
,工作,2,科技,科技,经济
,发展,2,环境压力,环境压力,国家
,面临,1,紧扣,紧扣,我国
,阶段,1,深刻影响,深刻影响,国际
,行动,1,深入开展,深入开展,社会
,落实,1,科普,科普,全球
,节能,1,着力点,着力点,人类
,继续,1,党和国家,党和国家,工作
,经济,1,制高点,制高点,继续
,紧扣,1,全民,全民,科普
,竞争,1,工作,工作,围绕
,突出,1,瞄准,瞄准,活动
,科普,1,城镇化,城镇化,全国
,社会,1,,,
,瞄准,1,,,
,着力点,1,,,
,生存,1,,,
,生动,1,,,
,环境压力,1,,,
,深刻影响,1,,,
,深入开展,1,,,
,活动,1,,,
,服务大局,1,,,
,方案,1,,,
,我国,1,,,
,快速,1,,,
,应对,1,,,
,工业化,1,,,
,尤为,1,,,
,处在,1,,,
,城镇化,1,,,
,坚决,1,,,
,国际,1,,,
,国家,1,,,
,围绕,1,,,
,制高点,1,,,
,减排,1,,,
,全球,1,,,
,全民,1,,,
,全国,1,,,
,党和国家,1,,,
,体现,1,,,
,今年,1,,,
,人类,1,,,
,主题,1,,,
,中心,1,,,
,,,,,
很高兴能在北京主场“低碳生活展区”见到同学们。这说明，广大青少年也积极投身到节能减排全民行动中来了。保护地球家园，是每个国家、每个民族、每个公民的共同责任。我国开展节能减排全民行动，既造福广大青少年，又要充分依靠广大青少年。希望广大青少年继续开动脑筋，提出更多低碳生活“金点子”，贡献更多绿色低碳技术小发明，争当地球家园呵护者、绿色低碳理念传播者、低碳生活方式践行者，为建设绿色低碳新家园多作贡献。,低碳,5,低碳,低碳,技术
,青少年,4,青少年,青少年,建设
,广大,4,广大,广大,国家
,绿色,3,绿色,绿色,我国
,生活,3,每个,每个,广大
,每个,3,家园,家园,积极
,行动,2,全民,全民,希望
,节能,2,生活,生活,开展
,家园,2,小发明,小发明,贡献
,地球,2,节能,节能,共同
,减排,2,减排,减排,生活
,全民,2,金点子,金点子,绿色
,高兴,1,新家园,新家园,继续
,金点子,1,地球,地球,方式
,造福,1,中来,中来,依靠
,责任,1,,,
,贡献,1,,,
,说明,1,,,
,见到,1,,,
,行者,1,,,
,继续,1,,,
,积极,1,,,
,理念,1,,,
,民族,1,,,
,方式,1,,,
,新家园,1,,,
,提出,1,,,
,投身,1,,,
,技术,1,,,
,我国,1,,,
,开展,1,,,
,开动脑筋,1,,,
,建设,1,,,
,希望,1,,,
,展区,1,,,
,小发明,1,,,
,国家,1,,,
,呵护,1,,,
,同学,1,,,
,北京,1,,,
,共同,1,,,
,公民,1,,,
,充分,1,,,
,保护,1,,,
,依靠,1,,,
,作贡献,1,,,
,传播者,1,,,
,争当,1,,,
,主场,1,,,
,中来,1,,,
,,,,,
今天我们在全国科普日活动北京主场，体会到了广大科技工作者和社会公众在“坚持科学发展、走近低碳生活”方面的巨大热情和智慧。中科院实行开门办科普、中国科协组织全国广大科技工作者联手办科普的创新举措，也给我们留下深刻印象。科学研究和科学普及好比鸟之双翼、车之双轮，不可或缺、不可偏废。在新形势下，广大科技工作者要遵照胡锦涛总书记在纪念中国科协成立50周年大会上的讲话精神，继续在促进科技成果繁荣发展、科学技术普及推广这两个方面发挥重要作用。,科普,3,科普,科普,创新
,科技,3,工作者,工作者,科技
,广大,3,中国科协,中国科协,发展
,工作者,3,广大,广大,我们
,方面,2,科技,科技,科学
,我们,2,低碳,低碳,重要
,发展,2,50,50,坚持
,全国,2,不可偏废,不可偏废,发挥
,中国科协,2,科学普及,科学普及,促进
,重要,1,双翼,双翼,作用
,遵照,1,科技成果,科技成果,工作者
,走近,1,新形势下,新形势下,科学技术
,讲话,1,中科院,中科院,广大
,胡锦涛,1,双轮,双轮,方面
,联手,1,深刻印象,深刻印象,精神
,继续,1,,,
,组织,1,,,
,纪念,1,,,
,繁荣,1,,,
,精神,1,,,
,科技成果,1,,,
,科学研究,1,,,
,科学普及,1,,,
,科学技术,1,,,
,科学,1,,,
,社会公众,1,,,
,留下,1,,,
,生活,1,,,
,热情,1,,,
,深刻印象,1,,,
,活动,1,,,
,智慧,1,,,
,普及,1,,,
,新形势下,1,,,
,推广,1,,,
,成立,1,,,
,总书记,1,,,
,开门,1,,,
,巨大,1,,,
,实行,1,,,
,好比,1,,,
,大会,1,,,
,坚持,1,,,
,周年,1,,,
,发挥,1,,,
,双轮,1,,,
,双翼,1,,,
,北京,1,,,
,创新,1,,,
,促进,1,,,
,作用,1,,,
,体会,1,,,
,低碳,1,,,
,今天,1,,,
,举措,1,,,
,主场,1,,,
,中科院,1,,,
,两个,1,,,
,不可或缺,1,,,
,不可偏废,1,,,
,50,1,,,
,,,,,
全国各级科协组织深入贯彻科学技术普及法和全民科学素质行动计划纲要，大力度开展科普工作，大幅度提高全民科学素质，进一步推动形成社会化科普工作格局，不断为建设创新型国家建功立业。,素质,2,科普,科普,建设
,科普,2,全民,全民,国家
,科学,2,素质,素质,推动
,工作,2,科协,科协,科学
,全民,2,科学,科学,形成
,进一步,1,建功立业,建功立业,工作
,贯彻,1,行动计划,行动计划,不断
,行动计划,1,大幅度提高,大幅度提高,科学技术
,组织,1,纲要,纲要,组织
,纲要,1,社会化,社会化,开展
,科学技术,1,创新型,创新型,创新型
,科协,1,工作,工作,力度
,社会化,1,贯彻,贯彻,进一步
,深入,1,普及,普及,科普
,格局,1,科学技术,科学技术,全国
,普及,1,,,
,推动,1,,,
,形成,1,,,
,开展,1,,,
,建设,1,,,
,建功立业,1,,,
,大幅度提高,1,,,
,国家,1,,,
,各级,1,,,
,力度,1,,,
,创新型,1,,,
,全国,1,,,
,不断,1,,,
,,,,,
各级党委和政府要为科协组织和广大科技工作者扎实深入开展科普工作提供有力支持和有效保障。,组织,1,科协,科协,科技
,科普,1,各级党委,各级党委,工作者
,科技,1,深入开展,深入开展,工作
,科协,1,科普,科普,支持
,深入开展,1,扎实,扎实,广大
,有效,1,工作者,工作者,组织
,有力,1,有力,有力,提供
,政府,1,广大,广大,保障
,支持,1,保障,保障,政府
,提供,1,科技,科技,科普
,扎实,1,有效,有效,科协
,广大,1,支持,支持,有效
,工作者,1,组织,组织,有力
,工作,1,提供,提供,各级党委
,各级党委,1,政府,政府,深入开展
,保障,1,,,
,,,,,
